epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10180438309907913,51.52809524536133,1e-04,0.09485176205635071,35.59965133666992
1,0.10519827157258987,26.593469619750977,1e-04,0.10777243226766586,19.294780731201172
2,0.10670793056488037,15.277854919433594,1e-04,0.10316506773233414,11.512483596801758
3,0.11033111810684204,9.495954513549805,1e-04,0.10186298191547394,7.456618309020996
4,0.12580515444278717,6.430256366729736,1e-04,0.1328125,5.316648483276367
5,0.1477707326412201,4.7786102294921875,1e-04,0.14423076808452606,4.16356897354126
6,0.16691827774047852,3.852241039276123,1e-04,0.1534455120563507,3.493812084197998
7,0.20239533483982086,3.2395482063293457,1e-04,0.18840144574642181,3.0603291988372803
8,0.23324275016784668,2.8249106407165527,1e-04,0.26141828298568726,2.6443233489990234
9,0.2631843686103821,2.530588388442993,1e-04,0.29717546701431274,2.424367666244507
10,0.2981833815574646,2.3192198276519775,1e-04,0.3359375,2.255192756652832
11,0.3284017741680145,2.172050952911377,1e-04,0.31740784645080566,2.779496908187866
12,0.3424416184425354,2.1733524799346924,1e-04,0.4095552861690521,2.03670334815979
13,0.37661030888557434,2.0431883335113525,1e-04,0.45112180709838867,1.954285979270935
14,0.4018719792366028,1.9929444789886475,1e-04,0.4499198794364929,1.8395309448242188
15,0.42371174693107605,1.949591875076294,1e-04,0.49318909645080566,1.8695154190063477
16,0.44041869044303894,1.9252033233642578,1e-04,0.45993590354919434,1.8798511028289795
17,0.4507598578929901,1.8864563703536987,1e-04,0.49429085850715637,1.7818078994750977
18,0.46905192732810974,1.8674107789993286,1e-04,0.565504789352417,1.700744390487671
19,0.4878723919391632,1.8034861087799072,1e-04,0.5375601053237915,1.7269420623779297
20,0.49509361386299133,1.7858277559280396,1e-04,0.5191305875778198,1.7539669275283813
21,0.5115740895271301,1.758949637413025,1e-04,0.5579928159713745,1.7844680547714233
22,0.5210598111152649,1.7490085363388062,1e-04,0.5979567170143127,1.6791220903396606
23,0.5407357215881348,1.7097333669662476,1e-04,0.5513821840286255,1.710404634475708
24,0.5433776378631592,1.71243417263031,1e-04,0.5314503312110901,1.849021077156067
25,0.5567129850387573,1.6804932355880737,1e-04,0.6340144276618958,1.5250587463378906
26,0.5663999319076538,1.6661200523376465,1e-04,0.5944511294364929,1.9058667421340942
27,0.5713818669319153,1.6594438552856445,1e-04,0.6301081776618958,1.606925129890442
28,0.579081118106842,1.645250678062439,1e-04,0.618088960647583,1.6892108917236328
29,0.5883655548095703,1.6286044120788574,1e-04,0.6297075152397156,1.4785228967666626
30,0.5925171375274658,1.6163588762283325,1e-04,0.6149839758872986,1.6169899702072144
31,0.6005686521530151,1.5871527194976807,1e-04,0.6051682829856873,1.6339726448059082
32,0.5980273485183716,1.6014305353164673,1e-04,0.6060696840286255,1.595841884613037
33,0.6098782420158386,1.5852115154266357,1e-04,0.6261017918586731,1.6726770401000977
34,0.6334289312362671,1.4937560558319092,2e-05,0.6770833134651184,1.3613643646240234
35,0.6479972004890442,1.40501070022583,2e-05,0.6806890964508057,1.3243874311447144
36,0.6549919247627258,1.350773811340332,2e-05,0.6733773946762085,1.3744155168533325
37,0.6610808968544006,1.3073527812957764,2e-05,0.6708734035491943,1.3686519861221313
38,0.6598480343818665,1.2828257083892822,2e-05,0.6804887652397156,1.267608642578125
39,0.6704865097999573,1.2511872053146362,2e-05,0.6892027258872986,1.1696467399597168
40,0.675020158290863,1.2278941869735718,2e-05,0.6720753312110901,1.221036434173584
41,0.6708685755729675,1.2121226787567139,2e-05,0.6802884340286255,1.179607629776001
42,0.6749194860458374,1.1923754215240479,2e-05,0.6859976053237915,1.1498150825500488
43,0.6783413887023926,1.1749613285064697,2e-05,0.6820913553237915,1.1414990425109863
44,0.6804297566413879,1.1677348613739014,2e-05,0.6869992017745972,1.1415419578552246
45,0.6836503744125366,1.147322177886963,2e-05,0.688401460647583,1.1290721893310547
46,0.6884812712669373,1.1275663375854492,2e-05,0.6770833134651184,1.160318374633789
47,0.6909722089767456,1.1199413537979126,2e-05,0.6750801205635071,1.1483484506607056
48,0.6925070285797119,1.11099112033844,2e-05,0.6839944124221802,1.169804573059082
49,0.6958283185958862,1.107264757156372,2e-05,0.6841946840286255,1.15534508228302
50,0.6977908611297607,1.092577338218689,4e-06,0.6917067170143127,1.1145669221878052
51,0.6988979578018188,1.0770753622055054,4e-06,0.6950120329856873,1.08651864528656
52,0.7051630616188049,1.061570167541504,4e-06,0.6925080418586731,1.0785259008407593
53,0.704483687877655,1.0647574663162231,4e-06,0.6946113705635071,1.0694185495376587
54,0.7095913887023926,1.044958472251892,4e-06,0.6942107081413269,1.0694313049316406
55,0.7051630616188049,1.055059790611267,4e-06,0.690504789352417,1.0752509832382202
56,0.7068991661071777,1.0486164093017578,4e-06,0.6945112347602844,1.0686122179031372
57,0.7066978812217712,1.0387386083602905,4e-06,0.6931089758872986,1.0647187232971191
58,0.708283007144928,1.0321228504180908,4e-06,0.6976161599159241,1.0638172626495361
59,0.7103210687637329,1.026139497756958,4e-06,0.6950120329856873,1.0650291442871094
