epoch,accuracy,loss,val_accuracy,val_loss
0,0.28743985295295715,2.0579702854156494,0.36448317766189575,1.755856990814209
1,0.3702811300754547,1.749419927597046,0.38481569290161133,1.9372116327285767
2,0.41838324069976807,1.61229407787323,0.4248798191547394,1.6072747707366943
3,0.44455888867378235,1.5400816202163696,0.41766828298568726,1.6819673776626587
4,0.4711364507675171,1.478088617324829,0.4346955120563507,1.7679284811019897
5,0.48851990699768066,1.4297538995742798,0.5162259340286255,1.4000519514083862
6,0.5031400918960571,1.3887665271759033,0.5280448794364929,1.3184301853179932
7,0.518966019153595,1.3532536029815674,0.4486177861690521,1.6996387243270874
8,0.5295920372009277,1.320488691329956,0.5834335088729858,1.178593635559082
9,0.5462720990180969,1.2772555351257324,0.5175280570983887,1.5075021982192993
10,0.5562198758125305,1.252782940864563,0.5630007982254028,1.2831488847732544
11,0.5653888583183289,1.2279980182647705,0.5299479365348816,1.5462943315505981
12,0.574256420135498,1.2075406312942505,0.672776460647583,0.9365293979644775
13,0.5823954939842224,1.1863404512405396,0.5622996687889099,1.2754967212677002
14,0.5946040749549866,1.1624350547790527,0.5677083134651184,1.3075206279754639
15,0.5984224081039429,1.1469160318374634,0.6893028616905212,0.8891145586967468
16,0.6041247844696045,1.1262428760528564,0.6544471383094788,1.0584968328475952
17,0.6062349081039429,1.1237939596176147,0.7011218070983887,0.8593849539756775
18,0.6157556176185608,1.0942250490188599,0.6690705418586731,0.9681296944618225
19,0.6198000311851501,1.0848525762557983,0.688401460647583,0.918942391872406
20,0.6208550930023193,1.0819553136825562,0.65625,1.0063214302062988
21,0.6315062046051025,1.0558218955993652,0.6016626358032227,1.2188838720321655
22,0.6320086121559143,1.0494049787521362,0.6675680875778198,1.0108702182769775
