epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4517728388309479,0.4052562117576599,1.5958516597747803,0.5728599429130554,0.31352663040161133,0.48227164149284363,0.46723607182502747,1.589205026626587,0.5788071751594543,0.3917267620563507
1,0.5912169218063354,0.5665881633758545,1.1540590524673462,0.7108948826789856,0.4709821343421936,0.4832732379436493,0.46799084544181824,1.6228479146957397,0.5399423837661743,0.4129607379436493
2,0.6475220918655396,0.6327046751976013,1.0043660402297974,0.753535270690918,0.5452698469161987,0.5910456776618958,0.5806964039802551,1.2063363790512085,0.6708229184150696,0.5119190812110901
3,0.6821328401565552,0.6710923314094543,0.9097927808761597,0.7767444849014282,0.5907403826713562,0.5843349099159241,0.5691287517547607,1.2243825197219849,0.6956018805503845,0.4815705120563507
4,0.7089686989784241,0.7012699246406555,0.8322272896766663,0.7937996983528137,0.6280598044395447,0.6348156929016113,0.6172677278518677,1.0604828596115112,0.758802056312561,0.5202323794364929
5,0.7274779081344604,0.7200132608413696,0.7854165434837341,0.8063432574272156,0.6503812074661255,0.6316105723381042,0.6316956281661987,1.0421422719955444,0.707577645778656,0.5705128312110901
6,0.7436045408248901,0.7411289811134338,0.7295056581497192,0.8182148933410645,0.6773174405097961,0.6747796535491943,0.676433265209198,0.9789448380470276,0.7513765096664429,0.6150841116905212
7,0.7584771513938904,0.7553004026412964,0.6875286102294922,0.827522337436676,0.6946729421615601,0.7351762652397156,0.7361440062522888,0.772659957408905,0.8210279941558838,0.6671674847602844
8,0.7779143452644348,0.7742083072662354,0.6413823366165161,0.8382241129875183,0.7192766666412354,0.7306690812110901,0.7328493595123291,0.7924516797065735,0.8051325082778931,0.6724759340286255
9,0.7876956462860107,0.7870862483978271,0.6019397974014282,0.845952033996582,0.7358798384666443,0.73828125,0.7405679821968079,0.7476851344108582,0.8070651888847351,0.6841946840286255
10,0.7999097108840942,0.8002877831459045,0.5707170367240906,0.8538361191749573,0.7530598044395447,0.7579126358032227,0.7608448266983032,0.7050663232803345,0.825847327709198,0.7053285241127014
11,0.810242772102356,0.8081700205802917,0.5453214645385742,0.8582422137260437,0.7636185884475708,0.6931089758872986,0.6968685388565063,0.9490706324577332,0.7528481483459473,0.6486378312110901
12,0.8196729421615601,0.8187333345413208,0.5147358179092407,0.8655635714530945,0.7767104506492615,0.7632211446762085,0.7646836042404175,0.7006771564483643,0.8284445405006409,0.710036039352417
13,0.8298555612564087,0.8302199244499207,0.4821442663669586,0.8723651170730591,0.791959285736084,0.7670272588729858,0.7676090002059937,0.7003775238990784,0.8192976713180542,0.7220553159713745
14,0.8347210884094238,0.8358368873596191,0.46915310621261597,0.87547367811203,0.799633800983429,0.7055288553237915,0.7045345306396484,0.9168285727500916,0.7527040839195251,0.6621594429016113
15,0.8449538350105286,0.8447853922843933,0.4419766366481781,0.8821072578430176,0.8104935884475708,0.7368789911270142,0.7388715744018555,0.8305842280387878,0.7793087959289551,0.7024238705635071
16,0.8538573384284973,0.8541359901428223,0.41661471128463745,0.8872733116149902,0.8233848214149475,0.7431890964508057,0.7485244274139404,0.8409591913223267,0.7898131608963013,0.7113381624221802
17,0.8742225170135498,0.8746926188468933,0.35582655668258667,0.9034749865531921,0.8476876020431519,0.8279246687889099,0.8323506116867065,0.513073742389679,0.8687506914138794,0.7988781929016113
18,0.8847562074661255,0.88541179895401,0.32119688391685486,0.9099258780479431,0.8621839880943298,0.8123998641967773,0.8140655755996704,0.5801452398300171,0.844143271446228,0.786057710647583
19,0.8918790221214294,0.8921343088150024,0.3047260642051697,0.913506269454956,0.8717395663261414,0.8198117017745972,0.8231447339057922,0.5488504767417908,0.854081392288208,0.7943710088729858
20,0.8950892686843872,0.8964658975601196,0.29037660360336304,0.9164527058601379,0.8773324489593506,0.8044871687889099,0.808979332447052,0.6152782440185547,0.8406047224998474,0.7796474099159241
21,0.906049370765686,0.9068370461463928,0.26380956172943115,0.9244880080223083,0.8898475170135498,0.8347355723381042,0.839279294013977,0.5082330703735352,0.8660628795623779,0.8141025900840759
22,0.9145515561103821,0.9147517681121826,0.24242666363716125,0.9299095869064331,0.9000802636146545,0.8387419581413269,0.8418279886245728,0.496360719203949,0.8688839077949524,0.81640625
23,0.9165830612182617,0.9169331192970276,0.23507092893123627,0.9319553375244141,0.9023876190185547,0.8356370329856873,0.8382783532142639,0.5102390050888062,0.8613547682762146,0.81640625
24,0.9213984608650208,0.9223887920379639,0.22338825464248657,0.9374757409095764,0.90777987241745,0.8445512652397156,0.8479422926902771,0.4893392324447632,0.8716158866882324,0.8255208134651184
25,0.9227026700973511,0.922552227973938,0.21968452632427216,0.9363988637924194,0.9091091752052307,0.840745210647583,0.843998908996582,0.5159417390823364,0.8668566942214966,0.8223156929016113
26,0.9250351190567017,0.9256115555763245,0.21117369830608368,0.937786340713501,0.9137489795684814,0.8412460088729858,0.8431814908981323,0.5096035599708557,0.8656889796257019,0.8218148946762085
