epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4206981062889099,0.35045579075813293,1.6422295570373535,0.5598549246788025,0.25505807995796204,0.43329328298568726,0.3563539385795593,1.706276774406433,0.6725958585739136,0.2423878163099289
1,0.559841513633728,0.5159203410148621,1.2350019216537476,0.7069274187088013,0.40617474913597107,0.5763221383094788,0.5333923101425171,1.2189607620239258,0.7235758304595947,0.42237579822540283
2,0.6077448129653931,0.5774993300437927,1.1024595499038696,0.7386003732681274,0.4740920960903168,0.40965545177459717,0.37586426734924316,1.79254150390625,0.45841142535209656,0.31850960850715637
3,0.6446880102157593,0.6238444447517395,1.0075201988220215,0.7620150446891785,0.5280898809432983,0.6617588400840759,0.6425802707672119,0.9536179900169373,0.7937840819358826,0.5397636294364929
4,0.664752185344696,0.6488901972770691,0.9463906288146973,0.7736838459968567,0.5587630271911621,0.6421273946762085,0.6292450428009033,1.0577974319458008,0.759235680103302,0.5372596383094788
5,0.6867225170135498,0.6726177334785461,0.8926166296005249,0.7878767251968384,0.5867776870727539,0.5860376358032227,0.574962317943573,1.2481472492218018,0.647834300994873,0.5168269276618958
6,0.7027989625930786,0.6920964121818542,0.8533896207809448,0.7993363738059998,0.6102277040481567,0.6707732081413269,0.6635686159133911,0.9295306205749512,0.7523168921470642,0.5935496687889099
7,0.7152889370918274,0.7068958878517151,0.8145782947540283,0.8055564761161804,0.6297652721405029,0.6810897588729858,0.6787078976631165,0.9441593885421753,0.7594544291496277,0.6134815812110901
8,0.726023256778717,0.7168133854866028,0.7847782373428345,0.8095207810401917,0.6431580781936646,0.6411257982254028,0.630784273147583,1.036454200744629,0.7427059412002563,0.5481770634651184
9,0.738162100315094,0.7329407334327698,0.7491463422775269,0.8188093900680542,0.663372814655304,0.6596554517745972,0.6602780222892761,0.982513427734375,0.7386293411254883,0.5969551205635071
10,0.7635433673858643,0.7597441077232361,0.6764745712280273,0.8389609456062317,0.6941964030265808,0.7777444124221802,0.7788623571395874,0.6389052867889404,0.854902446269989,0.7152444124221802
11,0.7737760543823242,0.7699571251869202,0.6461504101753235,0.8415073156356812,0.7096207737922668,0.7627203464508057,0.7643096446990967,0.6810067296028137,0.8347567915916443,0.7048277258872986
12,0.7824288010597229,0.7814063429832458,0.6211547255516052,0.8482640981674194,0.7243177890777588,0.7703325152397156,0.7683914303779602,0.6668683290481567,0.8338804244995117,0.7124398946762085
13,0.787394642829895,0.7832159399986267,0.6130614876747131,0.8488184809684753,0.7270264625549316,0.7384815812110901,0.7390926480293274,0.7669332027435303,0.8064898252487183,0.6820913553237915
14,0.800561785697937,0.7969079613685608,0.5741192102432251,0.8587778806686401,0.7433537244796753,0.7945713400840759,0.7956827878952026,0.5999564528465271,0.852725625038147,0.7457932829856873
15,0.8045746684074402,0.8041192293167114,0.5592938661575317,0.8627051115036011,0.7529845237731934,0.8028846383094788,0.8046479225158691,0.5730854868888855,0.8599749207496643,0.7560096383094788
16,0.8053019642829895,0.804064929485321,0.5572035908699036,0.8611692190170288,0.7540630102157593,0.7670272588729858,0.7655435800552368,0.6834356784820557,0.8153724074363708,0.7214543223381042
17,0.8141051530838013,0.8105021715164185,0.5363409519195557,0.8653227686882019,0.7622140645980835,0.7864583134651184,0.7875757217407227,0.6258289217948914,0.8396461606025696,0.7415865659713745
18,0.8146067261695862,0.8130655288696289,0.527640163898468,0.8646937608718872,0.7672551870346069,0.807692289352417,0.8106903433799744,0.5591816306114197,0.8613928556442261,0.765625
19,0.8157604336738586,0.8145992755889893,0.5256780982017517,0.8658064603805542,0.769111156463623,0.7985777258872986,0.7993001937866211,0.5878161787986755,0.8489865064620972,0.7551081776618958
20,0.8196980357170105,0.8190208077430725,0.5155155658721924,0.8702977299690247,0.7734500169754028,0.8216145634651184,0.8221796154975891,0.523930549621582,0.8751696348190308,0.7752403616905212
21,0.8223063945770264,0.8219671249389648,0.5068447589874268,0.8714662790298462,0.7777889370918274,0.7583132982254028,0.7592257857322693,0.7396751046180725,0.809226930141449,0.7150440812110901
22,0.8252658247947693,0.8247629404067993,0.4966728985309601,0.8722208142280579,0.7822030782699585,0.8139022588729858,0.8158935308456421,0.54789799451828,0.8621612787246704,0.774338960647583
23,0.8264948129653931,0.8262131810188293,0.49456050992012024,0.8722265362739563,0.7848113775253296,0.8090945482254028,0.8130242824554443,0.5541701316833496,0.8592303395271301,0.7715344429016113
24,0.8339185118675232,0.8326124548912048,0.48034021258354187,0.8778500556945801,0.7918087840080261,0.8187099099159241,0.8213062882423401,0.5360391736030579,0.8654464483261108,0.7814503312110901
25,0.8310844898223877,0.8312872648239136,0.47654590010643005,0.8764144778251648,0.7905798554420471,0.8185096383094788,0.8215317130088806,0.5241495966911316,0.8644761443138123,0.7826522588729858
