epoch,accuracy,f1_score,loss,lr,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.2736228406429291,0.19030609726905823,54.137733459472656,1e-04,0.4341869652271271,0.12185866385698318,0.10647035390138626,0.1168133020401001,34.5804557800293,0.262513130903244,0.07512019574642181
1,0.6656098961830139,0.6223670840263367,20.734832763671875,1e-04,0.7945981621742249,0.5114985704421997,0.80859375,0.7950428128242493,11.3277006149292,0.9031723737716675,0.710036039352417
2,0.8225392699241638,0.8102378845214844,6.902946949005127,1e-04,0.8861205577850342,0.7463265061378479,0.8454527258872986,0.8359236121177673,3.8367340564727783,0.9025664925575256,0.7784455418586731
3,0.8678290843963623,0.8625014424324036,2.517620325088501,1e-04,0.9084783792495728,0.8209540843963623,0.8405448794364929,0.8424484133720398,1.716941237449646,0.8868467807769775,0.8022836446762085
4,0.8922101259231567,0.8896174430847168,1.2132177352905273,1e-04,0.9211121797561646,0.8602052927017212,0.8502604365348816,0.8538610935211182,1.0436315536499023,0.8747636079788208,0.8339343070983887
5,0.9088667631149292,0.9079989194869995,0.7634629011154175,1e-04,0.930679202079773,0.8863979578018188,0.8523637652397156,0.8553924560546875,0.8074963688850403,0.8799915313720703,0.8321313858032227
6,0.9209440350532532,0.9204258918762207,0.5860496163368225,1e-04,0.9390773773193359,0.9025009870529175,0.8664863705635071,0.8684921264648438,0.7052937746047974,0.8845953941345215,0.8529647588729858
7,0.9282659292221069,0.9281914830207825,0.5054442882537842,1e-04,0.9436355829238892,0.9132447838783264,0.8582732081413269,0.8615809082984924,0.7175908088684082,0.8794200420379639,0.8444511294364929
8,0.9349587559700012,0.9349741339683533,0.45256343483924866,1e-04,0.9479454755783081,0.9223530888557434,0.8650841116905212,0.8676575422286987,0.7066961526870728,0.8821154832839966,0.8536658883094788
9,0.9379528760910034,0.9384795427322388,0.43179285526275635,1e-04,0.9507151246070862,0.9265549778938293,0.8560696840286255,0.8580419421195984,0.7266296148300171,0.8697397112846375,0.8466546535491943
10,0.942808985710144,0.9432114362716675,0.40527522563934326,1e-04,0.9536792039871216,0.9329710006713867,0.8744992017745972,0.8755651712417603,0.6386039853096008,0.888522207736969,0.8629807829856873
11,0.9437399506568909,0.9432555437088013,0.40584829449653625,1e-04,0.9540587663650513,0.9326942563056946,0.8217147588729858,0.823821485042572,0.9457321166992188,0.8338805437088013,0.8140023946762085
12,0.9510114789009094,0.9506332278251648,0.3748835623264313,1e-04,0.9590311050415039,0.9423812627792358,0.8478565812110901,0.8497009873390198,0.8412958979606628,0.8598974347114563,0.8397436141967773
13,0.9542824029922485,0.954064667224884,0.36009013652801514,1e-04,0.9618473052978516,0.9464070200920105,0.8579727411270142,0.8601833581924438,0.7454280257225037,0.870550811290741,0.8500601053237915
14,0.955716609954834,0.9554735422134399,0.355968177318573,1e-04,0.9626848697662354,0.948369562625885,0.8633813858032227,0.8650780916213989,0.7287022471427917,0.8739650249481201,0.856370210647583
15,0.9788647294044495,0.9785397052764893,0.22623290121555328,2e-05,0.9819112420082092,0.9751912355422974,0.90234375,0.9033328890800476,0.5183272957801819,0.9081798195838928,0.8985376358032227
16,0.9869917631149292,0.9867899417877197,0.1554742008447647,2e-05,0.9887092709541321,0.9848782420158386,0.9067507982254028,0.9079198837280273,0.48677313327789307,0.9122346043586731,0.9036458134651184
17,0.9894323945045471,0.9896166324615479,0.12727054953575134,2e-05,0.9912404417991638,0.9879981875419617,0.9081530570983887,0.9092005491256714,0.48687025904655457,0.9127801060676575,0.9056490659713745
18,0.9899607300758362,0.9900490641593933,0.11467063426971436,2e-05,0.9912727475166321,0.9888284802436829,0.9061498641967773,0.9071625471115112,0.493569940328598,0.9105035066604614,0.9038461446762085
19,0.9908665418624878,0.9910681247711182,0.10489203780889511,2e-05,0.9924309253692627,0.9897091388702393,0.9043469429016113,0.9053191542625427,0.5244893431663513,0.9080100655555725,0.9026442170143127
20,0.9915962219238281,0.9917128086090088,0.09823000431060791,2e-05,0.9928131699562073,0.9906149506568909,0.9039463400840759,0.9046518206596375,0.5368956923484802,0.9074783325195312,0.9018429517745972
21,0.9939613342285156,0.9938310384750366,0.08621710538864136,4e-06,0.99455726146698,0.9931058883666992,0.9124599099159241,0.9135652780532837,0.46748778223991394,0.9161881804466248,0.9109575152397156
22,0.995093584060669,0.9951537251472473,0.07520121335983276,4e-06,0.9957177639007568,0.9945904016494751,0.9141626358032227,0.9154943227767944,0.4647950828075409,0.9184475541114807,0.9125601053237915
23,0.996200680732727,0.9961609840393066,0.06918880343437195,4e-06,0.9966502785682678,0.9956722855567932,0.9141626358032227,0.9149459600448608,0.46433165669441223,0.9178510308265686,0.9120593070983887
24,0.9966787695884705,0.996639609336853,0.06471198052167892,4e-06,0.9970537424087524,0.9962258338928223,0.9133613705635071,0.9138095378875732,0.4693640172481537,0.9159706234931946,0.9116586446762085
25,0.9965780973434448,0.9964631199836731,0.06188289821147919,4e-06,0.9969274997711182,0.9959993958473206,0.9139623641967773,0.9146585464477539,0.4722544252872467,0.9168679714202881,0.9124599099159241
26,0.9966284036636353,0.9967399835586548,0.059539444744586945,4e-06,0.9972295761108398,0.9962509870529175,0.9125601053237915,0.9127333760261536,0.4716552197933197,0.9151228070259094,0.9103565812110901
27,0.996880054473877,0.9968155026435852,0.05642388015985489,4e-06,0.9973301887512207,0.9963013529777527,0.9146634340286255,0.9150109887123108,0.4723619222640991,0.9166666865348816,0.9133613705635071
28,0.9973580837249756,0.9972816109657288,0.054254431277513504,8e-07,0.9976332187652588,0.9969303607940674,0.9146634340286255,0.9153953194618225,0.4740040600299835,0.9172365069389343,0.9135617017745972
29,0.997433602809906,0.9974198937416077,0.05373276770114899,8e-07,0.9978092908859253,0.9970309734344482,0.9135617017745972,0.9147675037384033,0.47108399868011475,0.9168846607208252,0.9126602411270142
30,0.9975342154502869,0.9974073171615601,0.05301985144615173,8e-07,0.9977841377258301,0.9970309734344482,0.9143629670143127,0.9151520729064941,0.47313857078552246,0.9174551963806152,0.9128605723381042
31,0.9975090622901917,0.9974325895309448,0.05138411372900009,8e-07,0.9977842569351196,0.9970813393592834,0.9144631624221802,0.9151946902275085,0.47134149074554443,0.9170354008674622,0.9133613705635071
32,0.9972071051597595,0.9971933364868164,0.05287441983819008,1.6e-07,0.9976077079772949,0.9967793822288513,0.9148637652397156,0.9153035879135132,0.4723752737045288,0.9170520901679993,0.9135617017745972
33,0.9975593686103821,0.9975079894065857,0.05154620483517647,1.6e-07,0.9979099631309509,0.9971064925193787,0.9140625,0.9146928191184998,0.4719262719154358,0.916532576084137,0.9128605723381042
