epoch,accuracy,f1_score,loss,lr,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.44242560863494873,0.3892289400100708,52.52882385253906,1e-04,0.6917003393173218,0.2708081901073456,0.15454727411270142,0.0023988003376871347,31.444671630859375,0.5714285969734192,0.0012019231216982007
1,0.9020984172821045,0.8830729722976685,16.576154708862305,1e-04,0.9524821639060974,0.8230928182601929,0.8527644276618958,0.8490868210792542,8.03708553314209,0.9094029068946838,0.7962740659713745
2,0.9637429714202881,0.9593146443367004,4.120225429534912,1e-04,0.9752508997917175,0.9438909292221069,0.8537660241127014,0.8549248576164246,2.335876941680908,0.8782213926315308,0.8328325152397156
3,0.971869945526123,0.9703416228294373,1.1499035358428955,1e-04,0.9780680537223816,0.9627364873886108,0.8142027258872986,0.8174920082092285,1.269782304763794,0.8373240828514099,0.7985777258872986
4,0.9700080752372742,0.9693254232406616,0.5262619256973267,1e-04,0.975875973701477,0.9628623127937317,0.8570713400840759,0.8597390055656433,0.8631288409233093,0.8716418147087097,0.8481570482254028
5,0.9779589176177979,0.9776631593704224,0.32251304388046265,1e-04,0.9818310737609863,0.9735305905342102,0.8360376358032227,0.8378158211708069,0.9048283696174622,0.8491051197052002,0.8268229365348816
6,0.97826087474823,0.9775996804237366,0.268413782119751,1e-04,0.9817798733711243,0.9734551310539246,0.8472555875778198,0.8487972021102905,0.9132096767425537,0.856589138507843,0.8411458134651184
7,0.9808021187782288,0.9809463620185852,0.25264689326286316,1e-04,0.9839012026786804,0.9780092835426331,0.8569711446762085,0.8592681884765625,0.8564570546150208,0.8683645129203796,0.8503605723381042
8,0.9825130701065063,0.9825928211212158,0.2361735701560974,1e-04,0.9852026104927063,0.9799969792366028,0.8326321840286255,0.8349632024765015,0.9981704950332642,0.8449389934539795,0.8252203464508057
9,0.9854569435119629,0.9854629635810852,0.2108597606420517,1e-04,0.9876171946525574,0.9833182096481323,0.8711938858032227,0.8734086751937866,0.7366135716438293,0.8810639977455139,0.8658854365348816
10,0.9865891933441162,0.9864601492881775,0.19469524919986725,1e-04,0.9885289669036865,0.9844001531600952,0.8451522588729858,0.847848117351532,0.9023367166519165,0.8593621253967285,0.8366386294364929
11,0.9829156398773193,0.9830833077430725,0.2245737761259079,1e-04,0.9857818484306335,0.9803995490074158,0.8513621687889099,0.8538382649421692,0.9028013944625854,0.8611450791358948,0.8466546535491943
12,0.9880233407020569,0.9878845810890198,0.18908467888832092,1e-04,0.9899688959121704,0.9858092069625854,0.8346354365348816,0.8368484377861023,0.9989727735519409,0.8473305702209473,0.8266226053237915
13,0.9861866235733032,0.9861953258514404,0.20379745960235596,1e-04,0.9882760047912598,0.9841234087944031,0.8433493375778198,0.8456430435180664,0.90952467918396,0.8561018109321594,0.8354367017745972
14,0.9974587559700012,0.9973313808441162,0.10529384016990662,2e-05,0.9978841543197632,0.9967793822288513,0.88671875,0.8878819346427917,0.7038558721542358,0.8926004767417908,0.8832131624221802
15,0.9989935755729675,0.9989556074142456,0.06867057085037231,2e-05,0.9991441965103149,0.9987671375274658,0.8863180875778198,0.8869661092758179,0.7074084877967834,0.8909550309181213,0.8830128312110901
16,0.9995219111442566,0.9994337558746338,0.04938628524541855,2e-05,0.9995973110198975,0.9992703199386597,0.8863180875778198,0.8874038457870483,0.7648494839668274,0.8903115391731262,0.8845152258872986
17,0.9995722770690918,0.999547004699707,0.04248961806297302,2e-05,0.9996728301048279,0.9994212985038757,0.8908253312110901,0.8921173810958862,0.7209188342094421,0.8955389857292175,0.8887219429016113
18,0.9997735619544983,0.9996728301048279,0.03548843786120415,2e-05,0.9997986555099487,0.9995471239089966,0.8886218070983887,0.8892234563827515,0.8028019666671753,0.8912365436553955,0.8872195482254028
19,0.9996728897094727,0.9996350407600403,0.03468918427824974,4e-06,0.9997735023498535,0.9994967579841614,0.8893229365348816,0.8898155689239502,0.7716620564460754,0.8927311301231384,0.8869190812110901
20,0.9998238682746887,0.9997482895851135,0.03215733543038368,4e-06,0.9998741745948792,0.9996225833892822,0.889723539352417,0.8907958269119263,0.7659443020820618,0.8926775455474854,0.8889222741127014
21,0.9999748468399048,0.9999244809150696,0.029056426137685776,4e-06,1.0,0.9998490214347839,0.8896234035491943,0.8903606534004211,0.771740198135376,0.8921065926551819,0.8886218070983887
22,0.9998238682746887,0.9997734427452087,0.02816367894411087,4e-06,0.9998490214347839,0.9996980428695679,0.8928285241127014,0.8936617970466614,0.7546709775924683,0.895504355430603,0.8918269276618958
23,0.9999245405197144,0.9998615384101868,0.027036543935537338,8e-07,0.9999496936798096,0.9997735619544983,0.8924278616905212,0.8933178186416626,0.7533175945281982,0.8955208659172058,0.8911257982254028
24,0.9998993277549744,0.9998237490653992,0.026522265747189522,8e-07,0.9998993277549744,0.9997484087944031,0.8914262652397156,0.8922241926193237,0.7520004510879517,0.8943343162536621,0.8901242017745972
