epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.20089465379714966,54.89849853515625,1e-04,0.1171875,35.56298828125
1,0.4687751531600952,22.756568908691406,1e-04,0.6733773946762085,13.285969734191895
2,0.6562248468399048,8.645145416259766,1e-04,0.7813501358032227,5.0218071937561035
3,0.7292924523353577,3.6236398220062256,1e-04,0.7961738705635071,2.3066470623016357
4,0.7679649591445923,1.9212632179260254,1e-04,0.7798477411270142,1.4792364835739136
5,0.7946860194206238,1.298150897026062,1e-04,0.8119992017745972,1.0713694095611572
6,0.8128271102905273,1.0278820991516113,1e-04,0.8112980723381042,0.9372282028198242
7,0.8258101940155029,0.8976566195487976,1e-04,0.8271234035491943,0.824224054813385
8,0.8407809734344482,0.8109197616577148,1e-04,0.8408453464508057,0.7629919052124023
9,0.8512983322143555,0.7501989603042603,1e-04,0.8370392918586731,0.7631790041923523
10,0.8582175970077515,0.7139268517494202,1e-04,0.8440504670143127,0.7268528342247009
11,0.8677284717559814,0.6795061826705933,1e-04,0.8406450152397156,0.7512696385383606
12,0.8746225833892822,0.6597961187362671,1e-04,0.8053886294364929,0.9100839495658875
13,0.8808373808860779,0.635370671749115,1e-04,0.815504789352417,0.8629162907600403
14,0.8860205411911011,0.6071761846542358,1e-04,0.8487580418586731,0.7277011275291443
15,0.922680139541626,0.44946548342704773,2e-05,0.8834134340286255,0.5329711437225342
16,0.9363929033279419,0.3647201955318451,2e-05,0.8891226053237915,0.5097420811653137
17,0.9438909292221069,0.3162326216697693,2e-05,0.8825120329856873,0.5194295644760132
18,0.9486211538314819,0.2938706874847412,2e-05,0.8834134340286255,0.5188817977905273
19,0.952319860458374,0.2729437053203583,2e-05,0.8841145634651184,0.5238776206970215
20,0.9538546800613403,0.26481032371520996,2e-05,0.8863180875778198,0.5046862363815308
21,0.9565469026565552,0.2536553144454956,2e-05,0.8741987347602844,0.5634477138519287
22,0.958031415939331,0.2450212836265564,2e-05,0.8795071840286255,0.5490390062332153
23,0.9600694179534912,0.23256120085716248,2e-05,0.8894230723381042,0.5077029466629028
24,0.9626107215881348,0.22132040560245514,2e-05,0.8879206776618958,0.5139399766921997
25,0.9667370915412903,0.20437723398208618,4e-06,0.8958333134651184,0.4820588529109955
26,0.9702596664428711,0.186908558011055,4e-06,0.8943309187889099,0.4796682894229889
27,0.9715428948402405,0.17924055457115173,4e-06,0.8939303159713745,0.4847058653831482
28,0.9720964431762695,0.17335037887096405,4e-06,0.8967347741127014,0.47173935174942017
29,0.9733293056488037,0.16864220798015594,4e-06,0.8965344429016113,0.4716995358467102
30,0.9726499319076538,0.16952469944953918,4e-06,0.8977363705635071,0.4670615494251251
31,0.974713146686554,0.15846145153045654,4e-06,0.8976362347602844,0.46254968643188477
32,0.9753673672676086,0.1551496535539627,4e-06,0.8985376358032227,0.46640199422836304
33,0.9759712219238281,0.151553675532341,4e-06,0.8985376358032227,0.4638819098472595
34,0.9764744639396667,0.14887484908103943,4e-06,0.897536039352417,0.4674270451068878
35,0.9772292375564575,0.14493393898010254,4e-06,0.8982371687889099,0.47304627299308777
36,0.9759963750839233,0.14731653034687042,8e-07,0.8989382982254028,0.46898743510246277
37,0.9778079986572266,0.14086177945137024,8e-07,0.8978365659713745,0.4687042832374573
38,0.9774305820465088,0.14139291644096375,8e-07,0.8978365659713745,0.4651344120502472
39,0.9770305752754211,0.14235800504684448,8e-07,0.8981370329856873,0.464256227016449
40,0.9778331518173218,0.14247310161590576,1.6e-07,0.8990384340286255,0.46375250816345215
41,0.9797453880310059,0.13782837986946106,1.6e-07,0.8986378312110901,0.4632437825202942
