epoch,accuracy,f1_score,loss,lr,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.2244444489479065,0.12560142576694489,60.35383987426758,1e-04,0.3514391779899597,0.07646464556455612,0.10016025602817535,0.0,44.434059143066406,0.0,0.0
1,0.578656792640686,0.500341534614563,31.47031021118164,1e-04,0.7684680223464966,0.3709228038787842,0.1903044879436493,0.03196704760193825,22.885845184326172,0.7616822719573975,0.016326121985912323
2,0.7720573544502258,0.7432025074958801,14.935297012329102,1e-04,0.8719863891601562,0.6475638151168823,0.6232972741127014,0.579107403755188,10.448257446289062,0.7613840103149414,0.4672476053237915
3,0.8532719016075134,0.8417631983757019,6.895442962646484,1e-04,0.9088373184204102,0.783909022808075,0.85546875,0.8483363389968872,4.676278114318848,0.9053516387939453,0.7980769276618958
4,0.891334056854248,0.8836956024169922,3.32421875,1e-04,0.9259947538375854,0.8450921773910522,0.8765023946762085,0.8776888251304626,2.376988649368286,0.9118980765342712,0.8459535241127014
5,0.9135940074920654,0.9098039865493774,1.755601167678833,1e-04,0.9370571374893188,0.8840913772583008,0.8695913553237915,0.8720250725746155,1.4459424018859863,0.8997550010681152,0.8459535241127014
6,0.9242808222770691,0.9225671291351318,1.0517511367797852,1e-04,0.9434341788291931,0.9026033282279968,0.8721955418586731,0.8735172748565674,1.0099142789840698,0.8921261429786682,0.8556690812110901
7,0.9350689053535461,0.9329403042793274,0.7193881273269653,1e-04,0.9486179351806641,0.9177724719047546,0.8722956776618958,0.8738811016082764,0.8298545479774475,0.8876032829284668,0.8605769276618958
8,0.9414758682250977,0.9406917095184326,0.5409995913505554,1e-04,0.9536784291267395,0.9280540943145752,0.8637820482254028,0.8656654953956604,0.8045945763587952,0.8770559430122375,0.854567289352417
9,0.9460595846176147,0.9458745718002319,0.456189900636673,1e-04,0.9568800330162048,0.9351195096969604,0.8733974099159241,0.875196635723114,0.6756832003593445,0.8871282935142517,0.8635817170143127
10,0.9493770003318787,0.9496290683746338,0.3879150152206421,1e-04,0.9593973159790039,0.9400577545166016,0.786057710647583,0.7883576154708862,1.077420949935913,0.8026779890060425,0.7745392918586731
11,0.9553282260894775,0.9556913375854492,0.33960098028182983,1e-04,0.9635511636734009,0.9479588866233826,0.8630809187889099,0.8660555481910706,0.7055689096450806,0.8758578300476074,0.8564703464508057
12,0.9522892832756042,0.9517727494239807,0.3491021394729614,1e-04,0.9601113200187683,0.943577766418457,0.8755007982254028,0.8769299387931824,0.6197866201400757,0.8865799903869629,0.8674879670143127
13,0.963735818862915,0.9637153148651123,0.293905109167099,1e-04,0.9700577259063721,0.9574554562568665,0.8265224099159241,0.8279942274093628,0.8242529034614563,0.8436590433120728,0.8129006624221802
14,0.9631280303001404,0.9632998108863831,0.2909351885318756,1e-04,0.9695018529891968,0.9571768641471863,0.8679887652397156,0.8697190880775452,0.6775699853897095,0.8787444829940796,0.8608773946762085
15,0.9637104868888855,0.9638691544532776,0.2893184721469879,1e-04,0.9701875448226929,0.9576327204704285,0.7831530570983887,0.78517085313797,1.1192988157272339,0.7952537536621094,0.7753405570983887
16,0.9640144109725952,0.9638388156890869,0.28716960549354553,1e-04,0.9699441194534302,0.9578099846839905,0.8603765964508057,0.8614277243614197,0.7173657417297363,0.8716292381286621,0.8514623641967773
17,0.9855905771255493,0.9854504466056824,0.18589049577713013,2e-05,0.9880849123001099,0.9828302264213562,0.8980368375778198,0.8999545574188232,0.5127293467521667,0.9048293828964233,0.8951321840286255
